nuclides,reactions,groups,xs
Ca47,"(n,2n)",1,0.0005800746439201555
Ca47,"(n,p)",1,2.0755259505694507e-06
Ca47,"(n,a)",1,7.913873159555709e-08
Ca47,"(n,3n)",1,0.0
Ca47,"(n,4n)",1,0.0
Ca47,fission,1,0.0
Ca48,"(n,gamma)",1,0.15931276133440117
Ca48,"(n,2n)",1,0.00016885816120410015
Ca48,"(n,p)",1,1.3685604583273206e-08
Ca48,"(n,a)",1,2.374016810829779e-09
Ca48,"(n,3n)",1,3.489538152098743e-10
Ca48,"(n,4n)",1,0.0
Ca48,fission,1,0.0
Sc45,"(n,gamma)",1,3.963016201375664
Sc45,"(n,2n)",1,2.019920637392156e-05
Sc45,"(n,p)",1,0.007005556104960964
Sc45,"(n,a)",1,0.00012766591764248175
Sc45,"(n,3n)",1,0.0
Sc45,"(n,4n)",1,0.0
Sc45,fission,1,0.0
Ti46,"(n,gamma)",1,0.09088966107889768
Ti46,"(n,2n)",1,2.4554733467416867e-06
Ti46,"(n,p)",1,0.002973370043449463
Ti46,"(n,a)",1,0.0003839485960485987
Ti46,"(n,3n)",1,0.0
Ti46,"(n,4n)",1,0.0
Ti46,fission,1,0.0
Ti47,"(n,gamma)",1,0.26034587697148714
Ti47,"(n,2n)",1,0.00013544981199452508
Ti47,"(n,p)",1,0.005535329266643366
Ti47,"(n,a)",1,0.002642635768813029
Ti47,"(n,3n)",1,0.0
Ti47,"(n,4n)",1,0.0
Ti47,fission,1,0.0
Ti48,"(n,gamma)",1,1.216276767214324
Ti48,"(n,2n)",1,2.8841449658378803e-05
Ti48,"(n,p)",1,0.00010414671359169188
Ti48,"(n,a)",1,1.9806397843809725e-05
Ti48,"(n,3n)",1,0.0
Ti48,"(n,4n)",1,0.0
Ti48,fission,1,0.0
Ti49,"(n,gamma)",1,0.27570777186425616
Ti49,"(n,2n)",1,0.00020378833854686775
Ti49,"(n,p)",1,0.00032127470006514174
Ti49,"(n,a)",1,3.944759124078656e-05
Ti49,"(n,3n)",1,0.0
Ti49,"(n,4n)",1,0.0
Ti49,fission,1,0.0
Ti50,"(n,gamma)",1,0.02669449742365687
